,REACTOME_SIGNALING_BY_ERBB4,REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION,PID_HIF1A_PATHWAY,PID_LYMPH_ANGIOGENESIS_PATHWAY,KEGG_PHENYLALANINE_METABOLISM,REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE,REACTOME_DEADENYLATION_OF_MRNA,REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR,PID_NFAT_3PATHWAY,PID_NFAT_TFPATHWAY
43,,32846184,32579679,34939794,32717986,35184872,,34966917,,22234350
44,,32808479,32558900,34937562,32674925,35184708,,34966359,,22127238
45,,32775396,32529845,34930438,32665614,35184403,,34966356,,22009730
46,,32756920,32476784,34920899,32643532,35184377,,34962074,,21931301
47,,32732137,32464323,34916442,32508116,35183996,,34959967,,21622531
48,,32724135,32394523,34906282,32471219,35183646,,34954923,,21059644
49,,32699238,32294623,34900083,32443614,35183887,,34936168,,20943662
50,,32650903,32290826,34882334,32443532,35183675,,34925865,,20825407
51,,32605640,32252105,34881195,32382314,35183493,,34922334,,20689817
52,,32582289,32248837,34874218,32377520,35183150,,34918690,,19965778
53,,32543429,32202355,34873433,32355740,35182114,,34903856,,19411758
54,,32535580,32150332,34853203,32333952,35180824,,34898373,,19397838
55,,32529989,32134946,34847261,32320943,35180823,,34891213,,19252740
56,,32467722,32112823,34845300,32312866,35180296,,34890990,,18992303
57,,32405351,32044999,34830043,32247822,35180266,,34888761,,18180380
58,,32401607,31974606,34829749,32237524,35180212,,34880638,,17876792
59,,32399992,31957071,34821252,32051147,35179802,,34875861,,16988714
60,,32342760,31905009,34819594,31943934,35179568,,34874944,,16584774
61,,32297072,31866014,34803672,31885637,35178992,,34873433,,16002993
62,,32289504,31863220,34791802,31884319,35178609,,34873190,,12475762
63,,32281218,31786195,34774782,31863220,35178452,,34872280,,
64,,32167139,31720731,34769478,31836899,35178205,,34867828,,
65,,32161193,31715188,34767782,31822686,35178031,,34858345,,
66,,32124588,31676796,34755665,31819070,35177945,,34853985,,
67,,31894667,31654796,34754395,31782507,35177940,,34838541,,
68,,31888398,31600600,34752593,31708234,35177917,,34830301,,
69,,31875960,31583505,34750330,31584131,35177563,,34826514,,
70,,31842249,31537914,34742784,31541370,35177419,,34824300,,
71,,31827375,31520606,34732162,31499054,35177222,,34824108,,
72,,31816190,31487015,34731449,31337616,35176753,,34823560,,
73,,31802703,31414473,34728042,31331350,35176709,,34823092,,
74,,31763839,31408201,34722777,31228482,35175551,,34822056,,
