,PID_HNF3B_PATHWAY,ST_STAT3_PATHWAY,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,REACTOME_AMYLOIDS,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,REACTOME_ION_CHANNEL_TRANSPORT,REACTOME_GPCR_LIGAND_BINDING,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
73,,32829384,35178031,34489627,34943221,34698244,34500107,29655980,32735526,35069452
74,,32753925,35178024,34485269,34938272,34694755,34496877,29636387,32728119,35069451
75,,32749641,35177945,34481855,34934803,34694316,34486642,29615345,32684454,35069434
76,,32727744,35177917,34480263,34932898,34684166,34480844,29598932,32647958,35069222
77,,32704425,35177883,34478304,34930972,34683334,34474557,29504478,32639288,35068334
78,,32646628,35177470,34454830,34929746,34682638,34467706,29492402,32633792,35067011
79,,32633379,35177456,34454596,34926582,34681771,34463503,29394497,32632564,35066730
80,,32609742,35177222,34439505,34923911,34679685,34444782,29366647,32618136,35065504
81,,32538204,35176083,34433824,34920733,34678590,34443319,29310113,32585235,35060133
82,,32519748,35176079,34425843,34919176,34667196,34441954,31038027,32562571,35060126
83,,32487559,35175701,34422242,34918710,34657443,34440773,29258772,32558194,35059257
84,,32387619,35175551,34420950,34917917,34656062,34440664,29233848,32542873,35058801
85,,32360619,35174638,34399558,34914848,34656024,34433133,29198881,32466541,35058558
86,,32344305,35174437,34396529,34912824,34649814,34426510,29058194,32455083,35057577
87,,32342229,35174024,34393186,34906636,34646376,34420367,28887275,32453131,35057557
88,,32337687,35173531,34391818,34900829,34640445,34403879,28822846,32446885,35057547
89,,32329820,35173190,34380754,34900545,34639032,34390993,28768169,32432213,35056557
90,,32305626,35173034,34370783,34896919,34638608,34384074,28734639,32431505,35056501
91,,32295413,35173001,34366339,34896238,34636302,34381161,28650340,32429883,35055338
92,,32281218,35172998,34360006,34894983,34633133,34378279,28609478,32420005,35055118
93,,32196570,35172924,34355790,34890990,34627985,34373322,28571491,32378786,35054938
94,,32194159,35172533,34354659,34890767,34623822,34372745,28446062,32360619,35054926
95,,32117245,35172460,34354242,34889276,34622023,34371986,28389415,32360099,35054179
96,,32104542,35172361,34333330,34887840,34616307,34367469,28283573,32345589,35054144
97,,32067934,35172268,34329823,34885816,34614417,34360534,28270518,32317837,35052818
98,,32061924,35172228,34322121,34884651,34606853,34359828,28196832,32303808,35052794
99,,32041280,35172091,34319254,34884501,34600076,34352258,27825762,32300272,35052298
100,,32034833,35171528,34318619,34882862,34590907,34314821,27807998,32245525,35051439
101,,32029703,35170612,34313292,34882353,34586111,34313292,27647366,32203940,35049442
102,,31981641,35170486,34311050,34880612,34584542,34311022,27636017,32149328,35049224
103,,31958846,35170415,34309155,34879839,34583200,34308944,27630114,32113946,35049022
104,,31949260,35170237,34283253,34876807,34571964,34302624,27607913,32073352,35048659
105,,31948746,35169690,34280055,34876126,34563749,34291923,27597736,32067247,35048596
106,,31917967,35168986,34263961,34870551,34562212,34283205,27566229,32041431,35048556
107,,31896157,35168605,34261739,34867398,34557552,34278747,27324831,32040849,35048239
108,,31885809,35168530,34256527,34867302,34557160,34274141,27306986,32029481,35045921
109,,31881477,35167937,34245097,34865748,34553653,34273538,27243589,32000097,35045105
110,,31863220,35167194,34242809,34865644,34553427,34269534,27226591,31987254,35043090
111,,31848914,35167190,34237966,34863046,34552783,34265475,27208775,31974731,35040554
112,,31738412,35167073,34231327,34861363,34551059,34260650,27094704,31963438,35032624
113,,31699972,35166506,34227224,34859639,34550407,34260232,27068973,31943235,35032416
114,,31676093,35165548,34210821,34854254,34546322,34259303,27054338,31936646,35032412
115,,31665127,35165525,34187463,34846602,34523658,34248040,26975372,31912189,35029855
116,,31634046,35165331,34175325,34844584,34517793,34245311,26846851,31903671,35029061
117,,31601900,35164795,34170261,34844413,34517657,34244888,26742564,31901745,35027110
118,,31524257,35164510,34168725,34837768,34512884,34243631,26675443,31793266,35026882
119,,31517611,35164285,34151813,34837546,34512170,34241806,26661410,31793229,35024734
120,,31494661,35164215,34145545,34836310,34511578,34240605,26394664,31790682,35022272
121,,31483759,35163573,34137676,34833999,34510301,34234096,26341912,31750562,35021971
122,,31426846,35163410,34131170,34833980,34510273,34224683,26337420,31744781,35020253
123,,31396209,35163316,34120371,34831481,34509488,34216408,26234354,31721613,35020012
124,,31368573,35162052,34119687,34831343,34506950,34214506,26129938,31713358,35017043
125,,31327474,35160113,34118986,34831057,34506695,34212051,26105050,31680832,35012642
126,,31294483,35159301,34118339,34830706,34500753,34211797,25695968,31647926,35011666
127,,31286987,35159155,34112355,34830046,34500647,34186361,25673191,31639839,35011065
128,,31281225,35158892,34088954,34828808,34496877,34182536,25653074,31636084,35010985
129,,31277074,35158846,34079471,34827690,34475701,34176494,25502319,31624742,35010958
130,,31237452,35158824,34070553,34825869,34469050,34157945,25451942,31575566,35010737
131,,31221822,35158393,34069914,34823459,34466798,34149891,25449603,31560762,35008921
132,,31170991,35157499,34047449,34822479,34460827,34148917,25295009,31557143,35008906
133,,31109026,35155683,34044067,34822400,34454930,34128630,25280384,31555354,35008648
134,,31100371,35155441,34032392,34822382,34448864,34128007,25275559,31532493,35008567
135,,31097787,35155044,34029592,34821993,34445519,34120371,25191938,31525611,35008072
136,,31095463,35154494,34027899,34821047,34444782,34119687,25191754,31472216,35007648
137,,30945694,35154005,34024835,34814141,34443451,34116361,25093805,31469302,35006126
138,,30913399,35153733,34024701,34804028,34440664,34113869,25047836,31467926,35004947
139,,30880978,35153496,34018152,34803905,34439553,34099169,24991830,31415764,35004918
140,,30851580,35153417,34016598,34802421,34438036,34097884,24985472,31402754,35003286
141,,30830585,35153251,34015379,34796012,34436259,34092342,24946790,31354243,35002955
142,,30819085,35153111,34012065,34791119,34435256,34090243,24821912,31336541,35002748
143,,30683312,35152907,33970769,34789923,34427916,34089624,24751443,31334605,35001338
144,,30668400,35152691,33969516,34782743,34426942,34086738,24695667,31298289,35000894
145,,30665954,35152244,33965498,34779464,34426183,34072800,24583283,31265070,34998932
146,,30662576,35151858,33947210,34775536,34420367,34072474,24508142,31264324,34996740
