,PID_HNF3B_PATHWAY,ST_STAT3_PATHWAY,REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,REACTOME_AMYLOIDS,REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE,REACTOME_ION_CHANNEL_TRANSPORT,REACTOME_GPCR_LIGAND_BINDING,REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION,REACTOME_PLATELET_CALCIUM_HOMEOSTASIS
321,,23975026,35085735,32611683,34433630,33759548,33177612,,27493135,34786097
322,,23967267,35085366,32604774,34426993,33751888,33166270,,27484440,34785415
323,,23886751,35085251,32603641,34423827,33746885,33164004,,27479625,34785062
324,,23855973,35084357,32602568,34423721,33746664,33162978,,27478806,34783675
325,,23853776,35082904,32601944,34422083,33745565,33162485,,27387400,34783015
326,,23750710,35082758,32588938,34419103,33740389,33161761,,27385796,34782333
327,,23747931,35082508,32587390,34418744,33740334,33157379,,27377509,34782236
328,,23747250,35082201,32580974,34418283,33739173,33154160,,31360079,34781602
329,,23700340,35081898,32569693,34417650,33737142,33147343,,27284108,34780524
330,,23593036,35081569,32563713,34417277,33729664,33145626,,27279601,34779405
331,,23579487,35081303,32560229,34415396,33727057,33139642,,27234296,34779102
332,,23511693,35080701,32559841,34413117,33719188,33134388,,27226528,34778991
333,,23504315,35079259,32557841,34410099,33718200,33125920,,27219496,34777695
334,,23372061,35078511,32542806,34406393,33716721,33125753,,27217489,34777313
335,,23333931,35078449,32541896,34406076,33713645,33118726,,27138221,34774387
336,,23257358,35077745,32541895,34405221,33713581,33093699,,27133151,34774144
337,,23255598,35077471,32538855,34404937,33712808,33083852,,27090642,34773970
338,,23246831,35076493,32535272,34404817,33706169,33076509,,27082922,34772419
339,,23230212,35075059,32521474,34402258,33671798,33075764,,27080063,34769262
340,,23223021,35074908,32490863,34400887,33669133,33063115,,31975802,34765303
341,,23162655,35074667,32468130,34399527,33666833,33054244,,27028063,34765001
342,,23110196,35073367,32463790,34399391,33662598,33053898,,27013462,34763465
343,,23094067,35072785,32454996,34396581,33662571,33049686,,26984821,34763302
344,,23086036,35072537,32454931,34392792,33657115,33040077,,26939572,34763009
345,,23043161,35072042,32442083,34386321,33647265,33032084,,26939086,34762788
346,,23038263,35071777,32436936,34385994,33647254,33029295,,26937618,34762378
347,,23027613,35071640,32436237,34383399,33642871,33018959,,26912265,34760761
348,,22945304,35071564,32432078,34382495,33642340,33017914,,26907623,34759215
349,,22915469,35071380,32431603,34374401,33640319,33016686,,26885528,34757642
350,,22854746,35070304,32418534,34373464,33639243,33007486,,26857652,34757311
351,,22841542,35070251,32414928,34371962,33635523,33004708,,26854578,34753800
352,,22808290,35070225,32413985,34371945,33628283,32991960,,26822087,34753797
353,,22761857,35070111,32407295,34371888,33628099,32987721,,26813148,34752593
354,,22745068,35070073,32398693,34371847,33627633,32981928,,26789601,34748819
355,,22660795,35070056,32394925,34371008,33623633,32977552,,26740469,34748760
356,,22649064,35069867,32393893,34370694,33611932,32975269,,26712375,34748476
357,,22564979,35069582,32393892,34370300,33610707,32970432,,26676662,34747996
358,,22563086,35069222,32390636,34368864,33609317,32967568,,26671617,34746711
359,,22545089,35069205,32385803,34366888,33609191,32962260,,26666418,34746146
360,,22543247,35069170,32372981,34365777,33606677,32959643,,31768422,34746052
361,,22539679,35069149,32365816,34364238,33593356,32957558,,26621248,34744160
362,,22522613,35068792,32356429,34362888,33588049,32950634,,26599185,34743990
363,,22508064,35068329,32344165,34362459,33586497,32949665,,26598580,34743418
364,,22341640,35067899,32333549,34362294,33584642,32945423,,26593071,34741999
365,,22331364,35067816,32330570,34362037,33581257,32919422,,26551690,34737792
366,,22326994,35067449,32326589,34361920,33580640,32914574,,26520392,34737513
367,,22325091,35067195,32326517,34361563,33577915,32903642,,26517200,34736450
368,,22273863,35067153,32312168,34360534,33569974,32899874,,26476844,34731871
369,,22273862,35067142,32305815,34360322,33567306,32897800,,26472268,34730960
370,,22110483,35066921,32296903,34360006,33565691,32879653,,26460688,34729271
371,,22056385,35066828,32294928,34358397,33557007,32878828,,26429836,34727788
372,,21985785,35066767,32290868,34358274,33555600,32878498,,26426748,34727748
373,,21912612,35066056,32283762,34357347,33545792,32870561,,26397932,34722893
374,,21862611,35065983,32274599,34356808,33535949,32857288,,26365139,34722660
375,,21747171,35065847,32271378,34356640,33535747,32856042,,26349164,34721992
376,,21624091,35065369,32269898,34356475,33529726,32825894,,26327677,34721424
377,,21617185,35064400,32264944,34355790,33520842,32820316,,26311228,34719994
378,,21599458,35063496,32259327,34355282,33520829,32817751,,26309404,34718625
379,,21554521,35063446,32250311,34355196,33520794,32814232,,26297899,34718610
380,,21519350,35063344,32250298,34352720,33515594,32810740,,26291182,34717897
381,,21372039,35062385,32229246,34350596,33513366,32810492,,26233573,34716065
382,,21368653,35062152,32222531,34349265,33506262,32800850,,26179288,34715892
383,,21364767,35062130,32219646,34349203,33502878,32800550,,26134846,34715878
384,,21300624,35062059,32210695,34349026,33501550,32799394,,26118704,34715482
385,,21249158,35060942,32208408,34348919,33495825,32798322,,26112471,34715116
386,,21071580,35060728,32202808,34346573,33494625,32797749,,26093168,34713644
387,,21031339,35060126,32202739,34337243,33483741,32790060,,26071380,34711595
388,,20821229,35059395,32198621,34337024,33480422,32788887,,26045186,34710938
389,,20818497,35059392,32198463,34335266,33472479,32787767,,26021712,34708228
390,,20814956,35059268,32194507,34335259,33471970,32786001,,25995347,34707382
391,,20631733,35059244,32188374,34335171,33463234,32770374,,25995125,34703256
392,,20526368,35059072,32167154,34334328,33460615,32767952,,25982152,34699316
393,,20460752,35058601,32165212,34334139,33450088,32767111,,25969720,34698101
394,,20299783,35058191,32159545,34333293,33447303,32764504,,25968451,34697593
395,,20185635,35057911,32156083,34331217,33444718,32759033,,25962390,34695550
396,,20161735,35057797,32148197,34329971,33441910,32754804,,25939897,34693846
397,,20150288,35057569,32147454,34329744,33435602,32752112,,25891974,34692675
398,,20107192,35057558,32144164,34329692,33434144,32747257,,25889173,34691339
399,,19958114,35057552,32143329,34328161,33433486,32745750,,25870548,34687727
400,,19875458,35057548,32133797,34327571,33427953,32741295,,25864813,34687725
401,,19800083,35057540,32131431,34323091,33427267,32739399,,25851664,34686739
402,,19784582,35057513,32129153,34322511,33425218,32738338,,25834065,34685668
403,,19661066,35057510,32127257,34318967,33421408,32735781,,25772233,34685620
404,,19636222,35057503,32123956,34315367,33419247,32734440,,25771129,34685425
405,,19549853,35057501,32116510,34312454,33414716,32730745,,25760438,34684734
406,,19547759,35057448,32112452,34311523,33412098,32729630,,25725334,34684632
407,,19387875,35056946,32105649,34310656,33403698,32728891,,25716141,34684468
408,,19357722,35056941,32095894,34308944,33403597,32727339,,25708274,34684381
409,,19272793,35056861,32092326,34308664,33399849,32724452,,25705990,34684378
410,,19251395,35056780,32083135,34306045,33399105,32722465,,25614181,34682898
411,,19205029,35056765,32079687,34298148,33397553,32711477,,25612506,34681954
412,,19110536,35056557,32077986,34298034,33396845,32711108,,25600037,34681832
413,,19017763,35056393,32077246,34297497,33395297,32710428,,25578257,34681126
414,,18834444,35056346,32075893,34297456,33389429,32708766,,25568610,34680473
415,,18832793,35056329,32068886,34296449,33388674,32708215,,25565583,34678590
416,,18779578,35056324,32052315,34295586,33379850,32705127,,25563903,34678237
417,,18700015,35056318,32052147,34293310,33379848,32701146,,25560581,34678202
418,,18487452,35056315,32038127,34286837,33375983,32698623,,25553239,34677569
419,,18378570,35056127,32034441,34286509,33374571,32697061,,25456265,34675887
420,,18230613,35055431,32026607,34283205,33373432,32693824,,25436106,34675593
421,,18178618,35055412,32013844,34282342,33357895,32693171,,25431174,34675005
422,,18031608,35055338,32011847,34282152,33354328,32685033,,25410231,34674505
423,,17562326,35055319,32005442,34281431,33353192,32683790,,25387598,34672667
424,,17526654,35055081,31996622,34279029,33347265,32681069,,25387462,34671682
425,,17406644,35055050,31996326,34274001,33342766,32668647,,25366503,34670509
426,,17327450,35055027,31995712,34266640,33340674,32663711,,25364885,34670305
427,,17295835,35055022,31993048,34266394,33339444,32654608,,25332320,34669873
428,,17284655,35054991,31992349,34265579,33338749,32636802,,25328117,34669714
429,,17192474,35054926,31984442,34264743,33328269,32629455,,25272094,34668200
430,,17097800,35054924,31982877,34264387,33323458,32627220,,25266692,34667280
431,,17093946,35054888,31979355,34262724,33320529,32618037,,25240055,34667273
432,,16965293,35054822,31974905,34262156,33319671,32603504,,25231896,34666508
433,,16721034,35054422,31974099,34261739,33316843,32602814,,25231870,34666113
434,,16627594,35054144,31967063,34260923,33310423,32594191,,25168665,34663875
435,,16551628,35053127,31947546,34259305,33310119,32588370,,25146474,34663802
436,,16449352,35053064,31941840,34258287,33306343,32587663,,25139539,34663294
437,,16297319,35053020,31927145,34255857,33301237,32574064,,25097088,34660812
438,,16177100,35053018,31927001,34255031,33299313,32570168,,25079952,34660808
439,,15749807,35052953,31919781,34251085,33296175,32565336,,25059854,34660042
440,,15619028,35052844,31916276,34248897,33296162,32564295,,25048983,34657531
441,,15601754,35052818,31915963,34246926,33294254,32562054,,25047672,34657267
442,,15561935,35052794,31904547,34246920,33293942,32550176,,25034311,34656950
443,,15345684,35052752,31900863,34245355,33293598,32548971,,25016669,34655814
444,,15331557,35052710,31894470,34244329,33293421,32545902,,25008178,34653116
445,,15240880,35052633,31894464,34240667,33282938,32541895,,24990858,34650665
446,,15070774,35052597,33651867,34240605,33278511,32538381,,24988216,34650613
447,,14716305,35052401,31874582,34238735,33278392,32536223,,24983280,34650342
448,,14678947,35052019,31871617,34238463,33276949,32534720,,24971322,34647124
449,,12921973,35051881,31867887,34234740,33276482,32531573,,24954655,34646852
450,,12594516,35051763,31838720,34234486,33276097,32527798,,24928102,34645640
451,,12220549,35051439,31838129,34234216,33274238,32527456,,24927554,34645391
452,,11967010,35050264,31820484,34225937,33274237,32525079,,24924124,34644709
453,,10652023,35050213,31819572,34224949,33274209,32517842,,24919927,34644565
454,,10194520,35049484,31814530,34224812,33273482,32513013,,24911074,34643895
455,,9751766,35049442,31808036,34220855,33270256,32500885,,24890379,34643493
456,,9218758,35049216,31804529,34216342,33268721,32498888,,24862108,34639299
457,,8692797,35049196,31801334,34216216,33264776,32498563,,24831421,34638990
458,,,35049022,31779058,34212051,33262105,32486343,,24825435,34638615
459,,,35048763,31777253,34211619,33252072,32473245,,24813890,34637494
460,,,35048605,31766676,34210228,33249137,32470831,,24803311,34636497
461,,,35048596,31765661,34209638,33242093,32466773,,24790009,34636295
462,,,35048037,31758264,34209599,33230233,32457394,,24787504,34634043
463,,,35047115,31755391,34208908,33229539,32457326,,24713310,34632602
464,,,35046895,31753657,34201703,33222119,32455133,,24710961,34631895
465,,,35046698,31744006,34201520,33219433,32449138,,24704892,34631007
466,,,35046015,31739987,34199333,33218817,32444692,,24702495,34630895
467,,,35046014,31730866,34197915,33217980,32443614,,24673571,34630883
468,,,35046013,31726088,34195182,33214651,32441013,,24636613,34630866
469,,,35045332,31721795,34192748,33212150,32436936,,24620961,34627808
470,,,35044685,31721261,34192303,33210670,32436414,,24603557,34627704
471,,,35043173,31720593,34185058,33203694,32432347,,24601691,34625584
472,,,35042934,31708371,34183723,33201730,32432078,,24597211,34623597
473,,,35042753,31697830,34183063,33200558,32427693,,24566586,34623331
474,,,35042650,31694078,34178829,33198375,32419937,,24561860,34621822
475,,,35042552,31682826,34176494,33197564,32412744,,24553008,34615674
476,,,35041708,31680842,34171519,33197063,32403034,,24551889,34611544
477,,,35041699,31676294,34168722,33193424,32402119,,24524594,34611505
478,,,35041340,31669775,34168187,33192565,32402066,,24502860,34610720
479,,,35041127,31665341,34166739,33189452,32397145,,24458095,34610303
480,,,35041121,31659151,34165369,33187365,32393892,,24420785,34609920
481,,,35040812,31647489,34163679,33185696,32387304,,24419643,34609028
482,,,35040795,31647140,34158241,33185366,32383705,,24388462,34606993
483,,,35040610,31642657,34156347,33183483,32377518,,24385423,34606471
484,,,35040554,31642314,34156017,33183446,32363364,,24374093,34604943
485,,,35040415,31620893,34156011,33181169,32351012,,24355386,34604241
486,,,35040119,31620632,34154741,33177612,32343997,,24330406,34603858
487,,,35039576,31602757,34152460,33171282,32338465,,24303494,34602788
488,,,35039476,31601900,34152092,33162153,32335366,,24296910,34602544
489,,,35039332,31577904,34151809,33161761,32332634,,24296843,34602463
490,,,35038894,31566590,34149694,33161027,32330956,,24292753,34602077
491,,,35038890,31566589,34146413,33159991,32318895,,28360574,34601115
492,,,35038838,31551793,34145545,33157379,32312960,,24284851,34598978
493,,,35037775,31551756,34143451,33152905,32311651,,24264400,34597809
494,,,35037631,31551412,34140089,33152441,32305647,,24211301,34593560
495,,,35037196,31529602,34139119,33147748,32305626,,24201044,34592714
496,,,35037135,31527120,34137197,33136434,32302669,,24152185,34591271
497,,,35036572,31521398,34135611,33132140,32286474,,24129223,34590907
498,,,35036248,31507407,34132491,33130931,32283691,,24118023,34590448
499,,,35035855,31500836,34132368,33115566,32279476,,24085589,34589359
500,,,35035727,31493679,34130655,33112433,32277051,,24085041,34589201
501,,,35035440,31482893,34130016,33108324,32276962,,24084033,34589058
502,,,35035395,31469122,34129900,33106956,32258830,,24067498,34586216
503,,,35034940,31461911,34126693,33106138,32256445,,24051022,34584383
504,,,35034636,31461816,34126297,33099000,32256070,,24011681,34583660
505,,,35034587,31456396,34125646,33098611,32248455,,24011077,34582711
506,,,35034471,31455083,34125276,33096494,32245798,,23995958,34581971
507,,,35033991,31442763,34121441,33093699,32238304,,23970715,34581054
508,,,35033782,31436406,34121030,33092030,32233181,,23966668,34580767
509,,,35033161,31428627,34120835,33084092,32223126,,23939392,34580120
510,,,35032624,31426549,34119556,33077739,32216507,,23905458,34579628
511,,,35032563,31405644,34116361,33075764,32216291,,23905404,34579425
512,,,35031999,31401442,34115582,33064964,32210168,,23904952,34578916
513,,,35031057,31376172,34114983,33064205,32202758,,23887339,34576213
514,,,35031013,34652730,34113945,33062236,32200274,,23842711,34573114
515,,,35030973,31356213,34111464,33062144,32198206,,23835051,34572493
516,,,35029882,31353785,34109975,33054705,32196541,,23820404,34572148
517,,,35029593,31353702,34109519,33053898,32186155,,23816319,34571964
518,,,35029227,31343315,34107720,33050653,32185461,,23792282,34571945
519,,,35028470,31342431,34105563,33049236,32179650,,23785408,34571827
520,,,35027807,31338217,34103897,33045978,32172624,,23771401,34571504
521,,,35027110,31333136,34103026,33045658,32171979,,23770292,34570914
522,,,35026884,31330313,34102283,33044562,32167062,,23732189,34569909
523,,,35026047,31322215,34102134,33036786,32165934,,23731598,34567869
524,,,35025607,31305320,34101547,33035443,32158314,,23705524,34567065
525,,,35024753,31282646,34097903,33021829,32152499,,23697717,34566883
526,,,35024652,31276140,34097242,33020209,32145638,,23693136,34565341
527,,,35024196,31273267,34097181,33018959,32143382,,23639406,34565207
528,,,35024053,31267354,34093430,33016850,32143048,,23600386,34565098
529,,,35023058,31263995,34091400,33016845,32140858,,23595797,34563042
530,,,35021971,31256135,34090615,33016843,32138507,,23590413,34562838
531,,,35021961,31255671,34087334,33015921,32135367,,23565813,34562484
532,,,35021057,31237881,34086903,33014270,32135124,,23541708,34561952
533,,,35020844,31229566,34085773,33010420,32129603,,23532706,34560214
534,,,35020012,31222470,34084151,33009701,32129362,,23531839,34558982
535,,,35018767,31213603,34082859,33005004,32111490,,23482795,34557953
536,,,35018328,31196059,34082041,33004708,32105649,,23442783,34557362
537,,,35017806,31195047,34077730,32998388,32104528,,23430128,34557007
538,,,35017411,31156159,34074370,32994511,32094395,,23410569,34556885
539,,,35017182,31146152,34073737,32994439,32089084,,23404298,34553421
540,,,35017043,31128176,34072474,32993421,32083136,,23392617,34551784
541,,,35016742,31126115,34071972,32993012,32077246,,23390036,34551697
542,,,35016485,31103416,34071554,32991960,32077075,,23389305,34548113
543,,,35016446,31102743,34071182,32989633,32068116,,23370597,34547966
544,,,35015397,31095387,34069768,32984668,32067611,,23370066,34547701
545,,,35015837,31093980,34068353,32982222,32066652,,23324385,34544729
546,,,35015779,31089202,34067585,32979391,32062660,,23313875,34541956
547,,,35015742,31085195,34067538,32975269,32062369,,23307605,34540601
548,,,35015080,31084520,34065175,32963416,32058155,,23275337,34540403
549,,,35014695,31080589,34064996,32959643,32056521,,23266825,34539583
550,,,35014047,31076418,34063817,32957845,32056196,,23256101,34538233
551,,,35013596,31075308,34063377,32957808,32045947,,23250997,34537587
552,,,35013237,31062393,34062420,32956647,32039679,,23242937,34537243
553,,,35013117,31062332,34061274,32955003,32033303,,23238483,34536257
554,,,35012642,31062329,34059525,32949665,32031980,,23235661,34533398
555,,,35012372,31062328,34054724,32948398,32029482,,23223176,34532853
556,,,35011919,31062325,34054500,32945423,32020779,,23202932,34531242
557,,,35011666,31034991,34054021,32941450,32017160,,23187087,34528736
558,,,35011465,31028814,34052674,32936369,32010944,,23186035,34527203
559,,,35011387,31018156,34051165,32927638,32004602,,23183148,34526751
560,,,35011239,31004596,34048925,32924547,31998775,,23183040,34525924
561,,,35011089,30995454,34048807,32920759,31995653,,23150918,34524376
562,,,35011044,30975165,34046039,32916428,31991895,,23112395,34523817
563,,,35011029,30974231,34043793,32914574,31991596,,23091343,34523061
564,,,35010958,30970121,34043368,32909757,31987135,,23080264,34522873
565,,,35010944,30963337,34039350,32908933,31983511,,23073565,34515850
566,,,35010884,30958383,34038767,32903435,31983259,,23069762,34515712
567,,,35010830,30945019,34034069,32899874,31978475,,22991449,34515131
568,,,35010603,30923733,34033835,32898530,31972252,,22967187,34515128
569,,,35010564,30919775,34032751,32893983,31966996,,22928575,34514962
570,,,35010563,30917176,34032395,32893152,31965934,,22948709,34513999
571,,,35008927,30909245,34032389,32892714,31965435,,22923994,34512894
572,,,35008921,30903769,34029032,32880388,31963438,,22898766,34512883
573,,,35008906,30877737,34024269,32879653,31954804,,22893563,34512548
574,,,35008819,30875980,34021044,32870561,31953481,,22865388,34511917
575,,,35008779,30858558,34020251,32866635,31950005,,22856535,34511822
576,,,35008764,30852627,34019348,32865013,31949049,,22827115,34511492
577,,,35008753,30833374,34015278,32864046,31945095,,22820611,34511013
578,,,35008567,30823403,34012192,32861041,31943002,,22810079,34510866
579,,,35008094,30814273,34011890,32843569,31941840,,22764245,34509062
580,,,35008072,30803034,34007967,32840121,31939533,,22745234,34508686
581,,,35007648,30800211,34007805,32830146,31936746,,22735251,34508250
582,,,35006127,30794428,34007315,32828949,31935365,,22735246,34506691
583,,,35005848,30786010,34001534,32828841,31927945,,22733772,34503684
584,,,35005809,30785085,33998467,32814232,31924211,,22716295,34502235
585,,,35005800,30775988,33995842,32812777,31917312,,22712004,34502172
586,,,35003832,30767386,33995826,32812462,31902278,,22681169,34500517
587,,,35003773,30763329,33995129,32810492,31901726,,22678685,34498509
588,,,35003556,30759264,33995040,32808824,31897456,,22664956,34497852
589,,,35003245,30737030,33993001,32803305,31888677,,22633711,34497344
590,,,35002980,30717182,33992947,32800950,31888259,,22595032,34497173
591,,,35002979,30715843,33990655,32799731,33905470,,22558515,34496736
592,,,35002962,30714972,33989714,32799584,31882442,,22538358,34496412
593,,,35002959,30714593,33987434,32799394,31882432,,22509775,34495376
594,,,35002952,30701360,33984575,32797749,31875960,,22497967,34495024
595,,,35002748,30696606,33984104,32796688,31872502,,22494020,34494507
596,,,35002636,30693738,33983968,32791310,31866525,,22482900,34492873
597,,,35002488,30684218,33983836,32791171,31849450,,22463961,34491915
598,,,35002441,30664922,33982576,32787767,31847050,,22439790,34490882
599,,,35002305,30651639,33982105,32786001,31844950,,22417970,34489979
600,,,35001304,30648514,33975515,32781796,31842622,,22411174,34489258
601,,,35000912,30647447,33971198,32775471,31841043,,22406419,34488728
602,,,35000826,30637955,33970303,32770555,31833569,,22381403,34487763
603,,,35000526,30625358,33966342,32768960,31827172,,22335435,34486100
604,,,35000498,30599445,33965767,32768953,31823935,,22332190,34484395
605,,,35000152,30593246,33964854,32767952,31822724,,22303523,34484389
606,,,34999622,30588881,33958662,32764569,31809190,,22302366,34484126
607,,,34999113,30584157,33958610,32758884,31808036,,22296650,34482855
608,,,34998921,30576976,33958192,32752277,31806622,,22271716,34480934
609,,,34998917,30569165,33955722,32752112,31806069,,22282735,34480875
610,,,34998693,30565720,33955221,32745750,31800080,,22262002,34480721
611,,,34998036,30563117,33953787,32741952,31798448,,22249783,34480566
612,,,34997893,30554086,33953783,32740409,31797133,,22244844,34478642
613,,,34997875,30543158,33953584,32739627,31797064,,22236461,34475777
614,,,34997266,30523576,33952760,32739209,31794260,,22209797,34473318
615,,,34997159,30539783,33952620,32738338,31783386,,22188660,34473295
616,,,34997128,30538427,33951465,32730745,31776944,,22181052,34473261
617,,,34996986,30496135,33945828,32729630,31774182,,22172451,34472787
618,,,34996067,30472734,33942700,32728891,31766976,,22160261,34472748
619,,,34995039,30471910,33935960,32727343,31765978,,22155651,34471131
620,,,34993838,30468944,33935735,32727339,31763839,,22127745,34470550
621,,,34993030,30465895,33935282,32719300,31761520,,22120432,34470191
622,,,34992535,30463298,33932806,32716446,31759099,,22088923,34467607
623,,,34992395,30448407,33932804,32713360,31758264,,22082033,34463264
624,,,34991691,30430949,33930169,32710438,31756486,,21966503,34462681
625,,,34991588,30429533,33928788,32708633,31740233,,21966502,34460933
626,,,34991564,30428311,33926260,32705232,31737665,,21957592,34457002
627,,,34989435,30407835,33926085,32701146,31731478,,21922068,34456867
628,,,34989161,30406052,33925229,32693824,31726870,,21824264,34455488
629,,,34988917,30395886,33924316,32693244,31726162,,21831292,34455039
630,,,34988825,30388964,33924206,32693171,31722526,,21825244,34454596
631,,,34988782,30356412,33922546,32692483,31713370,,21821439,34454160
632,,,34988340,30355995,33918804,32677037,31710789,,21820345,34453944
633,,,34988261,30342713,33918360,32676275,31701455,,21811871,34453049
634,,,34987478,30327182,33917099,32668647,31698065,,21719618,34452693
635,,,34987125,30315849,33916315,32666453,31686640,,23960752,34452687
636,,,34987054,30312115,33914701,32664350,31681052,,21709230,34451520
637,,,34987052,30299960,33910835,32663595,31672623,,21699129,34450194
638,,,34986830,30293453,33902412,32659952,31669757,,21697998,34450183
639,,,34986766,30287490,33898960,32654526,31669609,,21689507,34449903
640,,,34986499,30264411,33897618,32653904,31659742,,21680149,34448864
641,,,34986199,30262932,33894295,32651321,31659307,,21676163,34448695
642,,,34985498,30256388,33894212,32641646,31656017,,21652784,34447649
643,,,34985343,30245473,33893332,32638622,31655180,,21629235,34446274
644,,,34985183,30242618,33892925,32635218,31655056,,21626670,34445689
645,,,34985174,30237470,33892409,32635208,31650826,,21613990,34445679
646,,,34984663,30233075,33892080,32633896,31648536,,21597555,34445504
647,,,34983374,30230173,33889468,32626781,31647140,,21586846,34445049
648,,,34983141,30214848,33889290,32619172,31643037,,21561014,34444782
649,,,34983124,30213882,33888696,32618037,31642657,,21526077,34444197
650,,,34982999,30211692,33885783,32614804,31642314,,21486703,34442116
651,,,34981743,30192315,33883567,32611265,31639397,,21444113,34442051
652,,,34981526,30186862,33881561,32605304,31634466,,21443281,34440773
653,,,34981503,30149123,33876796,32602393,31632046,,21435176,34440682
654,,,34980720,30148596,33871793,32598925,31624852,,21435162,34440224
655,,,34980639,30142486,33871690,32596728,31622690,,21411513,34439921
656,,,34980593,30138667,33870850,32591923,31597668,,21410690,34439815
657,,,34980192,30106299,33870714,32591618,31594615,,21396718,34438482
658,,,34980154,30106209,33868178,32588825,31582658,,21371007,34438065
659,,,34979879,30078552,33864412,32588466,31580546,,21366362,34438036
660,,,34978779,30072873,33860354,32588370,31577213,,21346609,34436982
661,,,34978597,30069457,33858855,32587663,31574903,,21306415,34434058
662,,,34978237,30043289,33857907,32586748,31566426,,21303196,34433630
663,,,34977075,30036122,33857887,32581562,31555879,,21287911,34433133
664,,,34976402,30030591,33857729,32574064,31555078,,21281613,34433033
665,,,34976136,30027367,33853507,32570168,31552707,,21246327,34432804
666,,,34976108,30015901,33850106,32567544,31546678,,21232580,34429664
667,,,34974781,30014749,33846211,32567025,31545435,,21199267,34426183
668,,,34974076,30012886,33844166,32564765,31544706,,21188517,34425843
669,,,34973610,29991320,33843223,32564295,31538892,,21184807,34425740
670,,,34972146,29988450,33842424,32563214,31534524,,21176164,34425309
671,,,34972124,29986579,33842400,32559845,31529508,,21166852,34425102
672,,,34972066,29984653,33841324,32552747,31528975,,21163113,34424853
673,,,34971794,29976766,33838166,32550185,31522263,,21112637,34423734
674,,,34970896,29976617,33835594,32548708,31518635,,21091395,34422083
675,,,34970858,29964054,33826917,32545902,31518570,,21085553,34421642
676,,,34970748,29962282,33825246,32536223,31517620,,21081794,34420942
677,,,34970582,29961608,33819181,32534720,31514873,,20948513,34420584
678,,,34970352,29957442,33817264,32529845,31513895,,20943276,34419453
679,,,34970219,29956647,33816635,32529660,31512386,,20920685,34418148
680,,,34970150,29946879,33815980,32529526,31506348,,20876762,34417511
681,,,34969939,29940507,33812900,32527456,31503003,,20860415,34417460
682,,,34969661,29936141,33812885,32526091,31499963,,20853444,34416856
683,,,34968441,29928940,33811534,32526061,31492216,,20851745,34412532
684,,,34968300,29920123,33810955,32521173,31491425,,20838862,34411011
685,,,34967298,29867568,33808194,32518777,31490734,,20823343,34410681
686,,,34967205,29865065,33807135,32515004,31483755,,20812792,34410414
687,,,34967052,29857172,33807132,32512500,31481108,,20737059,34409130
688,,,34965370,29847632,33806689,32509990,31479766,,20723096,34408097
689,,,34964748,29799975,33805311,32508651,31473158,,20722677,34407873
690,,,34964440,29789902,33803471,32508185,31473080,,20705793,34405221
691,,,34964299,29789539,33803410,32507768,31469709,,20700963,34403950
692,,,34963483,29781038,33802738,32497629,31463740,,20642317,34403879
693,,,34963233,29775005,33802638,32495570,31456636,,20642268,34403077
694,,,34963031,29745410,33801269,32495169,31455371,,20614224,34402288
695,,,34962944,29738349,33800583,32494901,31453333,,20562752,34402224
696,,,34962463,29729422,33797874,32490905,31451331,,20560688,34400700
697,,,34962148,29725602,33797089,32488498,31449269,,20532620,34400258
698,,,34962074,29709194,33792106,32486343,31445358,,20531396,34400023
699,,,34961627,29702073,33790707,32484751,31429187,,20503259,34397849
700,,,34961464,29697253,33786869,32481426,31428627,,20447294,34397640
701,,,34960114,29684505,33785845,32478903,31421743,,20424632,34394285
702,,,34960104,29681053,33785643,32478050,31421735,,20393345,34394007
703,,,34960047,29670917,33785337,32477353,31410531,,20347224,34394004
704,,,34960022,29664151,33785319,32475916,31404506,,20303665,34393408
705,,,34960007,29627323,33781754,32475820,31401268,,20211611,34392929
706,,,34959978,29615609,33775493,32475753,31395287,,20189712,34390493
707,,,34959908,29614684,33774161,32474374,31392433,,20152584,34389701
708,,,34959770,29610518,33772908,32473710,31387707,,20142635,34389292
709,,,34959746,29603541,33769491,32473245,31387330,,20114126,34387520
710,,,34959363,29593812,33767915,32470831,31387025,,20087482,34383402
711,,,34959305,29580826,33763324,32466773,31383366,,20085062,34382947
712,,,34959126,29577153,33762273,32464779,31382467,,20061234,34381362
713,,,34958284,29568686,33761625,32457394,31373720,,20056558,34381214
714,,,34958178,29562662,33760510,32448100,31373287,,20056114,34380489
715,,,34957864,29555190,33760476,32447799,31368021,,22128454,34380028
716,,,34957860,29551659,33756478,32444692,31357305,,20026182,34378485
717,,,34957493,29550545,33752126,32437549,31357295,,20010500,34377673
718,,,34957476,29540613,33746109,32435675,31355569,,19962354,34376643
719,,,34956455,29536165,33745510,32428993,31353516,,19952879,34375681
720,,,34956420,29526462,33741440,32427894,31350439,,19926597,34374223
721,,,34956088,29523142,33740331,32422539,31350303,,19917280,34373965
722,,,34955555,29518374,33730578,32418177,31338036,,19906270,34373742
